종목코드,종목명,현재가,전일대비변동액,등락률,NAV,3개월수익률,거래량,거래대금(백만),시가총액(억),NAV괴리율(%),운용사
278620,PLUS 단기채권액티브,118480,55,0.05,118484.0,0.2921,164,19,628,-0.0,한화자산운용 (PLUS)
455660,ACE 미국하이일드액티브(H),9495,-10,-0.11,9497.0,-0.2585,22083,209,627,-0.02,한국투자신탁운용 (ACE)
123310,TIGER 인버스,1237,-15,-1.2,1233.0,-19.8464,4055721,4842,626,0.32,미래에셋자산운용 (TIGER)
100910,KIWOOM KRX100,17250,305,1.8,17304.0,11.98,13943,247,621,-0.31,기타
428510,KODEX 차이나AI테크액티브,27000,-140,-0.52,27030.0,14.8291,23640,651,621,-0.11,삼성자산운용 (KODEX)
419890,KIWOOM 단기채권ESG액티브,107040,15,0.01,107048.0,0.2294,2,0,621,-0.01,기타
476750,ACE 미국30년국채엔화노출액티브(H),7910,-25,-0.32,7927.0,-5.0325,47404,374,617,-0.21,한국투자신탁운용 (ACE)
304780,HANARO 200선물레버리지,136980,3350,2.51,136771.0,10.0605,2995,440,616,0.15,NH-Amundi자산운용 (HANARO)
453640,KODEX 미국S&P500헬스케어,14330,105,0.74,14402.0,8.434,43981,630,616,-0.5,삼성자산운용 (KODEX)
440910,WON 미국우주항공방산,26715,545,2.08,26760.0,-4.7498,16789,448,614,-0.17,우리자산운용 (WON)
261220,KODEX WTI원유선물(H),23660,860,3.77,23653.0,1.3333,207421,4905,609,0.03,삼성자산운용 (KODEX)
0181L0,SOL 미국우주항공TOP10,7470,425,6.03,7355.0,-30.1092,274038,2065,609,1.56,신한자산운용 (SOL)
266420,KODEX 헬스케어,15195,-105,-0.69,15218.0,-29.7682,22619,347,608,-0.15,삼성자산운용 (KODEX)
476260,HANARO 반도체핵심공정주도주,13245,-510,-3.71,13270.0,-2.4469,719727,9930,603,-0.19,NH-Amundi자산운용 (HANARO)
480310,TIGER 글로벌온디바이스AI,21200,355,1.7,21556.0,32.2086,16160,345,594,-1.65,미래에셋자산운용 (TIGER)
455960,RISE 미국달러SOFR금리액티브(합성),12930,75,0.58,12938.0,1.1408,1631,21,592,-0.06,KB자산운용 (RISE)
491220,PLUS 200TR,130775,2210,1.72,129821.0,11.6354,5699,768,588,0.73,한화자산운용 (PLUS)
0185L0,TIME 글로벌휴머노이드로봇산업액티브,8210,135,1.67,8250.0,,87823,732,587,-0.48,기타
298340,PLUS 국채선물3년,56145,-60,-0.11,56125.0,-0.4341,14849,833,586,0.04,한화자산운용 (PLUS)
275980,TIGER 글로벌4차산업혁신기술(합성 H),22710,-45,-0.2,22995.0,2.8707,2467,56,586,-1.24,미래에셋자산운용 (TIGER)
473640,HANARO 글로벌금채굴기업,29180,1195,4.27,28754.0,-25.3037,39507,1145,584,1.48,NH-Amundi자산운용 (HANARO)
465330,RISE 2차전지TOP10,9925,205,2.11,9920.0,-38.6566,62174,625,581,0.05,KB자산운용 (RISE)
0166S0,PLUS K제조업핵심기업액티브,10835,175,1.64,10835.0,-5.0359,84777,946,580,0.0,한화자산운용 (PLUS)
0118Z0,ACE 미국AI테크핵심산업액티브,9250,175,1.93,9255.0,-5.861,22786,211,574,-0.05,한국투자신탁운용 (ACE)
0193L0,PLUS 삼성전자선물단일종목인버스2X,16105,-310,-1.89,16049.0,,12228396,183208,573,0.35,한화자산운용 (PLUS)
225040,TIGER 미국S&P500레버리지(합성 H),64780,240,0.37,65029.0,8.4341,2977,193,570,-0.38,미래에셋자산운용 (TIGER)
114470,KIWOOM 국고채3년,107415,-35,-0.03,107409.0,-0.5793,24,2,569,0.01,기타
360140,KODEX 200롱코스닥150숏선물,25650,290,1.14,25628.0,69.4054,186623,4834,564,0.09,삼성자산운용 (KODEX)
253150,PLUS 200선물레버리지,224210,4135,1.88,225468.0,10.1356,234662,56162,561,-0.56,한화자산운용 (PLUS)
0172V0,1Q 은액티브,8315,220,2.72,8195.0,-25.734,71472,592,557,1.46,기타
